club,lat,lon
Albany Curling Club,42.6526,-73.7562
Anchorage Curling Club,61.2176,-149.9003
Ardsley Curling Club,41.0330,-73.8400
Austin Curling Club,30.2672,-97.7431
Bemidji Curling Club,47.4736,-94.8803
Billings Curling Club,45.7833,-108.5007
Bismarck-Mandan Curling Club,46.8083,-100.7837
Black Hills Curling Club,44.0805,-103.2310
Boise Curling Club,43.6150,-116.2023
Brainerd Lakes Curling Club,46.3527,-94.2020
Buffalo Curling Club,42.8864,-78.8784
Calumet Curling Club,46.5800,-89.0000
Cape Cod Curling Club,41.6880,-70.2890
Charleston Curling Club,32.7765,-79.9311
Charlotte Curling Club,35.2600,-80.8570
Chaska Curling Club,44.7897,-93.5988
Cheyenne Curling Club,41.1400,-104.8202
Cleveland Skating Club Curling,41.4850,-81.6080
Columbus Curling Club,39.9612,-82.9988
Dakota Curling Club,44.7679,-93.2777
Dallas/Fort Worth Curling Club,32.7767,-96.7970
Denver Curling Club,39.8080,-105.1400
Detroit Curling Club,42.4600,-83.1300
Duluth Curling Club,46.7833,-92.1066
Evergreen Curling Club,45.5200,-122.6740
Fairbanks Curling Club,64.8378,-147.7164
Fargo Moorhead Curling Club,46.8772,-96.7898
Four Seasons Curling Club,45.1600,-93.2366
Frogtown Curling Club,44.9530,-93.1060
Golden State Curling Club,34.0928,-118.3287
Granite Curling Club,47.6734,-122.3747
Green Bay Curling Club,44.5192,-88.0198
Green Mountain Curling Club,44.4759,-73.2121
Hollywood Curling Club,34.0928,-118.3287
Houston Curling Club,29.7604,-95.3698
Jackson Hole Curling Club,43.4799,-110.7624
Juneau Curling Club,58.3019,-134.4197
Las Vegas Curling Club,36.1699,-115.1398
Madison Curling Club,43.0731,-89.4012
Mayfield Curling Club,41.5200,-81.4400
Medford Curling Club,45.1380,-90.3400
Memphis Curling Club,35.1495,-90.0490
Milwaukee Curling Club,43.0389,-87.9065
Missoula Curling Club,46.8721,-113.9940
Nutmeg Curling Club,41.3300,-73.0800
Ogden Curling Club,41.2230,-111.9738
Omaha Curling Club,41.2565,-95.9345
Park City Curling Club,40.6461,-111.4980
Philadelphia Curling Club,40.0000,-75.2500
Pine Tree Curling Club,43.6590,-70.2560
Plainfield Curling Club,40.6330,-74.4070
Pittsburgh Curling Club,40.5230,-80.2170
Portage Curling Club,43.5392,-89.4626
Poynette Curling Club,43.39298,-89.40042
Racine Curling Club,42.7267,-87.8205
Rice Lake Curling Club,45.5069,-91.7387
Rochester Curling Club,43.1566,-77.6088
San Francisco Bay Area Curling Club,37.7749,-122.4194
Schenectady Curling Club,42.8142,-73.9396
Sioux Falls Curling Club,43.5446,-96.7311
Spokane Curling Club,47.6588,-117.4260
St Paul Curling Club,44.9533,-93.1066
Stevens Point Curling Club,44.5236,-89.5745
Traverse City Curling Club,44.7631,-85.6206
Triangle Curling Club,35.9000,-78.8500
Utica Curling Club,43.1009,-75.2327
Wauwatosa Curling Club,43.0495,-88.0076
Wausau Curling Club,44.9591,-89.6301
Williston Basin Curling Club,48.1467,-103.6180
Wine Country Curling Club,38.2919,-122.4580
