date,location,event,stream,result
2026-01-09T12:00,St Paul Curling Club,Big Spiel,https://www.youtube.com/watch?v=hbHEa4qaJ1M,Win
2026-01-09T18:00,Frogtown Curling Club | Sheet C,Big Spiel,https://youtube.com/@frogtowncurling?si=7QdOOLdLtUU8Rctt,Win
2026-01-10T10:30,Four Seasons Curling Club | Sheet B,Big Spiel,https://youtube.com/@fourseasonscurlingcenter?si=Lt8pnb8gXogliMPs,Win
2026-01-10T17:30,Chaska Curling Club | Sheet 3,Big Spiel,https://youtube.com/@chaskacurlingcenter?si=aBuA6H7Lm-0ISdO3,Loss
2026-01-15T12:30,Stevens Point Curling Club | Sheet B,Wisconsin Club Playdowns,https://www.youtube.com/@PointCurling/streams,Loss
2026-01-15T17:00,Stevens Point Curling Club | Sheet D,Wisconsin Club Playdowns,https://www.youtube.com/@PointCurling/streams,Win
2026-01-16T08:00,Stevens Point Curling Club | Sheet A,Wisconsin Club Playdowns,https://www.youtube.com/@PointCurling/streams,Win
2026-01-16T14:30,Stevens Point Curling Club | Sheet B,Wisconsin Club Playdowns,https://www.youtube.com/@PointCurling/streams,Win
2026-01-16T21:00,Stevens Point Curling Club | Sheet B,Wisconsin Club Playdowns,https://www.youtube.com/@PointCurling/streams,Loss
2026-01-17T12:00,Stevens Point Curling Club | Sheet C,Wisconsin Club Playdowns,https://www.youtube.com/@PointCurling/streams,Loss
2026-01-30T20:45,Medford Curling Club,Running Tree Maple Syrup Spiel,,Loss
2026-01-31T10:00,Medford Curling Club,Running Tree Maple Syrup Spiel,,Win
2026-01-31T16:00,Medford Curling Club,Running Tree Maple Syrup Spiel,,Loss
2026-02-20T11:00,Racine Curling Club | Sheet 2,Wisconsin Mixed Playdowns,https://www.youtube.com/@RacineCurlingClub,Loss
2026-02-20T17:30,Racine Curling Club | Sheet 1,Wisconsin Mixed Playdowns,https://www.youtube.com/@RacineCurlingClub,Loss
2026-02-21T08:00,Racine Curling Club | Sheet 1,Wisconsin Mixed Playdowns,https://www.youtube.com/@RacineCurlingClub,Win
2026-02-21T21:00,Racine Curling Club | Sheet 2,Wisconsin Mixed Playdowns,https://www.youtube.com/@RacineCurlingClub,Loss
2026-03-06T19:30,Dakota Curling Club,Double Trouble Spiel,,Win
2026-03-07T08:00,Dakota Curling Club,Double Trouble Spiel,,Loss
2026-03-07T13:45,Dakota Curling Club,Double Trouble Spiel,,Win
2026-03-08T08:00,Dakota Curling Club,Double Trouble Spiel,https://youtube.com/@curlingstadiumdakota?si=0kDZRPeBTmlqyVvQ,
2026-04-10T13:00,Granite Curling Club | Sheet 5,April Spiel,https://www.youtube.com/live/8AoSnCRfrEQ?si=vBuP0il7le9h3Kdt,Win
2026-04-10T19:00,Granite Curling Club | Sheet 1,April Spiel,https://youtube.com/@curlingseattlelive?si=nL2y65L91iCsb5zX,Loss
2026-04-11T09:15,Granite Curling Club | Sheet 3,April Spiel,https://youtube.com/@curlingseattlelive?si=nL2y65L91iCsb5zX,Win
2026-04-12T01:00,Granite Curling Club | Sheet 5,April Spiel,https://youtube.com/@curlingseattlelive?si=nL2y65L91iCsb5zX,Win
2026-04-12T12:30,Granite Curling Club | Sheet 2,April Spiel,https://youtube.com/@curlingseattlelive?si=nL2y65L91iCsb5zX,Loss
2026-08-21T19:00,Rice Lake Curling Club | Sheet 4,Rice Lake Summerspiel,https://www.youtube.com/watch?v=K4mVVJnfhXU&list=PLCU4JflutHgU,
